"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.1","224.0.0.1","IGMPv2","62","Membership Query, general"
"2","5.482924094","192.168.0.102","224.0.0.251","IGMPv2","62","Membership Report group 224.0.0.251"
"3","8.524980419","192.168.0.100","224.0.0.251","IGMPv2","62","Membership Report group 224.0.0.251"
"4","11.627180976","192.168.0.101","91.189.89.199","NTP","92","NTP Version 4, client"
"5","11.756673263","91.189.89.199","192.168.0.101","NTP","92","NTP Version 4, server"
"6","17.216969753","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.1? Tell 192.168.0.101"
"7","17.218588246","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
"8","29.708421800","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=1/256, ttl=64 (reply in 9)"
"9","29.709015144","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=1/256, ttl=64 (request in 8)"
"10","30.720634073","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=2/512, ttl=64 (reply in 11)"
"11","30.721113728","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=2/512, ttl=64 (request in 10)"
"12","31.745033130","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=3/768, ttl=64 (reply in 13)"
"13","31.745304730","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=3/768, ttl=64 (request in 12)"
"14","32.768938377","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=4/1024, ttl=64 (reply in 15)"
"15","32.769396701","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=4/1024, ttl=64 (request in 14)"
"16","33.792766796","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=5/1280, ttl=64 (reply in 17)"
"17","33.793131266","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=5/1280, ttl=64 (request in 16)"
"18","34.720233687","Vmware_2f:6c:96","","ARP","62","Who has 192.168.0.101? Tell 192.168.0.102"
"19","34.720247045","Vmware_d4:ba:56","","ARP","44","192.168.0.101 is at 00:0c:29:d4:ba:56"
"20","34.817444154","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=6/1536, ttl=64 (reply in 21)"
"21","34.817862512","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=6/1536, ttl=64 (request in 20)"
"22","34.881156132","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.102? Tell 192.168.0.101"
"23","34.881603331","Vmware_2f:6c:96","","ARP","62","192.168.0.102 is at 00:0c:29:2f:6c:96"
"24","35.840835488","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=7/1792, ttl=64 (reply in 25)"
"25","35.841172101","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=7/1792, ttl=64 (request in 24)"
"26","36.865220719","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=8/2048, ttl=64 (reply in 27)"
"27","36.865737182","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=8/2048, ttl=64 (request in 26)"
"28","37.889394802","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=9/2304, ttl=64 (reply in 29)"
"29","37.889895431","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=9/2304, ttl=64 (request in 28)"
"30","38.912735970","192.168.0.101","192.168.0.102","ICMP","100","Echo (ping) request  id=0x19d0, seq=10/2560, ttl=64 (reply in 31)"
"31","38.913184668","192.168.0.102","192.168.0.101","ICMP","100","Echo (ping) reply    id=0x19d0, seq=10/2560, ttl=64 (request in 30)"
"32","44.409305882","192.168.0.101","91.189.89.199","NTP","92","NTP Version 4, client"
"33","44.534041792","91.189.89.199","192.168.0.101","NTP","92","NTP Version 4, server"
"34","50.024796707","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.1? Tell 192.168.0.101"
"35","50.026477865","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
"36","63.423048868","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"37","63.426051351","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"38","63.427943155","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"39","63.428911511","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"40","63.428972886","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
"41","63.429959654","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"42","63.431859885","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"43","63.434808043","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"44","63.437900052","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"45","63.440746880","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"46","63.441801421","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"47","63.442038239","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"48","63.443675532","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"49","63.446607543","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"50","63.449603784","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"51","63.452474010","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"52","63.454465754","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"53","63.454578160","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"54","63.455385049","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"55","63.457724521","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"56","63.462308790","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"57","63.465278419","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"58","63.466132999","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"59","63.466198472","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"60","63.468230947","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"61","63.470089303","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"62","63.473030004","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"63","63.475960742","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"64","63.478135086","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"65","63.479936440","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"66","63.480026358","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"67","63.481937148","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"68","63.484862335","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"69","63.487799239","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"70","63.489770714","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"71","63.491660551","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"72","63.492579088","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"73","63.493597577","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"74","63.496598721","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"75","63.499653184","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"76","63.502478533","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"77","63.503410775","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"78","63.504442216","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"79","63.506402297","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"80","63.508344535","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"81","63.511303948","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"82","63.514212393","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"83","63.516125729","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"84","63.516226709","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"85","63.517156483","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"86","63.520078514","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"87","63.524042142","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"88","63.526987353","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"89","63.528080934","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"90","63.528263838","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"91","63.529930044","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"92","63.532928988","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"93","63.535826563","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"94","63.537782502","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"95","63.538724584","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"96","63.540721063","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"97","63.542623369","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"98","63.544673049","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"99","63.547635769","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"100","63.549560952","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"101","63.551512623","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"102","63.552510129","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"103","63.554503459","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"104","63.557398456","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"105","63.559328204","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"106","63.561324156","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"107","63.563258466","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"108","63.564200845","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"109","63.566220681","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"110","63.569190575","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"111","63.572055315","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"112","63.574077564","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"113","63.575049235","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"114","63.576023111","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"115","63.577982664","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"116","63.580943587","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"117","63.583880302","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"118","63.586827566","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"119","63.587802780","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
"120","63.587937345","EquipTra_0c:29:d4","AvlabTec_00:06:04","0xba56","58","Ethernet II"
