"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.10.10.140","10.10.10.1","DNS","86","Standard query 0xbf92 A detectportal.firefox.com"
"2","0.000036928","10.10.10.140","10.10.10.1","DNS","86","Standard query 0x93e9 AAAA detectportal.firefox.com"
"3","0.659131066","10.10.10.1","10.10.10.140","DNS","250","Standard query response 0xbf92 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 124.124.252.50 A 124.124.252.98"
"4","0.659173782","10.10.10.1","10.10.10.140","DNS","274","Standard query response 0x93e9 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2001:4528:401::7c7c:fc62 AAAA 2001:4528:401::7c7c:fc32"
"5","0.659917237","10.10.10.140","124.124.252.50","TCP","76","56144  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823454132 TSecr=0 WS=128"
"6","0.910335128","10.10.10.140","124.124.252.50","TCP","76","56146  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823454383 TSecr=0 WS=128"
"7","1.672990472","10.10.10.140","124.124.252.50","TCP","76","[TCP Retransmission] 56144  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823455145 TSecr=0 WS=128"
"8","1.689809435","124.124.252.50","10.10.10.140","TCP","76","80  >  56144 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61709597 TSecr=2823454132 WS=128"
"9","1.689863385","10.10.10.140","124.124.252.50","TCP","68","56144  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823455162 TSecr=61709597"
"10","1.690109541","10.10.10.140","124.124.252.50","HTTP","356","GET /success.txt HTTP/1.1 "
"11","1.790730317","124.124.252.50","10.10.10.140","TCP","76","[TCP Retransmission] 80  >  56144 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61709755 TSecr=2823454132 WS=128"
"12","1.790768277","10.10.10.140","124.124.252.50","TCP","68","[TCP Dup ACK 9#1] 56144  >  80 [ACK] Seq=289 Ack=1 Win=29312 Len=0 TSval=2823455263 TSecr=61709597"
"13","1.863812791","124.124.252.50","10.10.10.140","TCP","76","80  >  56146 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61709844 TSecr=2823454383 WS=128"
"14","1.863876142","10.10.10.140","124.124.252.50","TCP","68","56146  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823455336 TSecr=61709844"
"15","1.878431540","124.124.252.50","10.10.10.140","TCP","76","[TCP Out-Of-Order] 80  >  56146 [SYN, ACK] Seq=0 Ack=1 Win=28924 Len=0 MSS=1460 SACK_PERM=1 TSval=61710003 TSecr=2823454383 WS=128"
"16","1.878465489","10.10.10.140","124.124.252.50","TCP","68","[TCP Dup ACK 14#1] 56146  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823455351 TSecr=61709844"
"17","2.208354074","124.124.252.50","10.10.10.140","TCP","76","[TCP Retransmission] 80  >  56144 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61710595 TSecr=2823454132 WS=128"
"18","2.211585355","124.124.252.50","10.10.10.140","TCP","68","80  >  56144 [ACK] Seq=1 Ack=289 Win=30080 Len=0 TSval=61710619 TSecr=2823455162"
"19","2.211624467","124.124.252.50","10.10.10.140","HTTP","452","HTTP/1.1 200 OK  (text/plain)"
"20","2.211643099","10.10.10.140","124.124.252.50","TCP","68","56144  >  80 [ACK] Seq=289 Ack=385 Win=30336 Len=0 TSval=2823455684 TSecr=61710620"
"21","2.215420509","10.10.10.140","124.124.252.50","TCP","76","56148  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823455688 TSecr=0 WS=128"
"22","2.216752265","10.10.10.140","10.10.10.1","DNS","73","Standard query 0xbf3c A mozilla.org"
"23","2.218139545","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc62","TCP","96","57106  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=418574521 TSecr=0 WS=128"
"24","2.220057593","10.10.10.140","10.10.10.1","DNS","73","Standard query 0xa8c1 A mozilla.org"
"25","2.220104732","10.10.10.140","10.10.10.1","DNS","73","Standard query 0x3cd6 AAAA mozilla.org"
"26","2.466063911","10.10.10.140","124.124.252.50","TCP","76","56152  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823455938 TSecr=0 WS=128"
"27","2.468584455","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc62","TCP","96","57110  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=418574772 TSecr=0 WS=128"
"28","2.781198827","HonHaiPr_55:bd:c8","","ARP","62","Who has 10.10.10.1? Tell 10.10.10.213"
"29","2.864466345","CompalIn_b3:29:81","","ARP","62","Who has 169.254.94.215? Tell 10.10.14.252"
"30","2.865161115","LiteonTe_d1:6c:d7","","ARP","44","Who has 10.10.13.213? Tell 10.10.10.56"
"31","3.222990067","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc62","TCP","96","[TCP Retransmission] 57106  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=418575526 TSecr=0 WS=128"
"32","3.223038317","10.10.10.140","124.124.252.50","TCP","76","[TCP Retransmission] 56148  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823456695 TSecr=0 WS=128"
"33","3.269924009","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x20f3, seq=1/256, ttl=64 (reply in 34)"
"34","3.269945190","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x20f3, seq=1/256, ttl=64 (request in 33)"
"35","3.321443996","192.168.0.1","255.255.255.255","DHCP","366","DHCP NAK      - Transaction ID 0xc315f009"
"36","3.486266579","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc62","TCP","96","[TCP Retransmission] 57110  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=418575789 TSecr=0 WS=128"
"37","3.486316527","10.10.10.140","124.124.252.50","TCP","76","[TCP Retransmission] 56152  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2823456959 TSecr=0 WS=128"
"38","3.487642985","192.168.0.1","255.255.255.255","DHCP","366","DHCP NAK      - Transaction ID 0xc315f009"
"39","3.512310176","LiteonTe_34:d3:65","","ARP","62","Gratuitous ARP for 10.10.12.30 (Request)"
"40","3.513361979","fe80::726d:ecff:fe02:109","ff02::1:ff02:109","ICMPv6","88","Multicast Listener Report"
"41","3.516738252","192.168.0.1","255.255.255.255","DHCP","366","DHCP NAK      - Transaction ID 0xc315f009"
"42","3.518072681","fe80::2dea:64dd:3f62:3b5a","ff02::1:ff62:3b5a","ICMPv6","88","Multicast Listener Report"
"43","3.519181342","fe80::e0be:964:c2de:715a","ff02::fb","ICMPv6","88","Multicast Listener Report"
"44","3.520368894","fe80::1a0f:76ff:fe8d:1fb6","ff02::1","ICMPv6","80","Router Advertisement from 18:0f:76:8d:1f:b6"
"45","3.521420809","fe80::f6f2:6dff:fe47:3b79","ff02::1:ff47:3b79","ICMPv6","88","Multicast Listener Report"
"46","3.523058617","IntelCor_f4:f6:78","","ARP","44","Who has 10.10.15.16? Tell 0.0.0.0"
"47","3.529621946","fe80::c662:d135:7792:5180","ff02::16","ICMPv6","92","Multicast Listener Report Message v2"
"48","3.684401994","fe80::9473:c99d:51e9:4147","ff02::16","ICMPv6","112","Multicast Listener Report Message v2"
"49","3.791380331","fe80::1262:ebff:fe11:18a5","ff02::1","ICMPv6","80","Router Advertisement from 10:62:eb:11:18:a5"
"50","3.792359066","fe80::8226:89ff:fe51:a71c","ff02::1","ICMPv6","80","Router Advertisement from 80:26:89:51:a7:1c"
"51","3.795989258","10.10.13.42","224.0.0.252","NBNS","94","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"52","3.796920435","Azurewav_2a:db:db","","ARP","62","Who has 192.168.0.1? Tell 192.168.0.149"
"53","3.798413228","fe80::9473:c99d:51e9:4147","ff02::16","ICMPv6","112","Multicast Listener Report Message v2"
"54","3.799661663","fe80::c662:d135:7792:5180","ff02::16","ICMPv6","92","Multicast Listener Report Message v2"
"55","3.799911810","fe80::8d7f:fb22:b645:cb76","ff02::fb","MDNS","141","Standard query response 0x0000 AAAA fe80::8d7f:fb22:b645:cb76 A 10.10.15.16"
"56","3.801076724","fe80::8d7f:fb22:b645:cb76","ff02::1:3","LLMNR","97","Standard query 0xa8b9 ANY ADMINRG-SL7NR70"
"57","3.802265767","fe80::8d7f:fb22:b645:cb76","ff02::16","ICMPv6","92","Multicast Listener Report Message v2"
"58","3.803052159","10.10.15.16","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.252 for any sources"
"59","3.806927452","10.10.15.16","224.0.0.252","LLMNR","77","Standard query 0xa8b9 ANY ADMINRG-SL7NR70"
"60","3.808361685","10.10.15.16","224.0.0.251","MDNS","121","Standard query response 0x0000 AAAA fe80::8d7f:fb22:b645:cb76 A 10.10.15.16"
"61","3.810492501","10.10.10.188","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"62","3.811666413","fe80::8d7f:fb22:b645:cb76","ff02::16","ICMPv6","92","Multicast Listener Report Message v2"
"63","3.812460281","10.10.15.16","224.0.0.22","IGMPv3","56","Membership Report / Join group 239.255.255.250 for any sources"
"64","3.813638820","fe80::c6e3:9fff:fe82:987","ff02::1:ff82:987","ICMPv6","88","Multicast Listener Report"
"65","3.814738319","fe80::31ca:a694:9a7f:74e3","ff02::1:ff7f:74e3","ICMPv6","88","Multicast Listener Report"
"66","3.818230558","fe80::9c25:e050:14f:ff3","ff02::1:ff4f:ff3","ICMPv6","88","Multicast Listener Report"
"67","3.819340312","fe80::9c25:e050:14f:ff3","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"68","3.820397700","fe80::726d:ecff:fe02:f1","ff02::1:ff00:0","ICMPv6","88","Multicast Listener Report"
"69","3.822023131","fe80::726d:ecff:fe02:97","ff02::1:ff00:0","ICMPv6","88","Multicast Listener Report"
"70","3.823399305","Cisco_02:bd:80","","ARP","62","Gratuitous ARP for 10.10.10.51 (Reply)"
"71","3.824525678","fe80::726d:ecff:fe02:142","ff02::2","ICMPv6","88","Multicast Listener Report"
"72","3.840346555","124.124.252.50","10.10.10.140","TCP","76","80  >  56148 [SYN, ACK] Seq=0 Ack=1 Win=28556 Len=0 MSS=1460 SACK_PERM=1 TSval=61711138 TSecr=2823455688 WS=128"
"73","3.840415485","10.10.10.140","124.124.252.50","TCP","68","56148  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823457313 TSecr=61711138"
"74","3.840750685","10.10.10.140","124.124.252.50","HTTP","361","GET /success.txt?ipv4 HTTP/1.1 "
"75","3.850479404","10.10.10.1","10.10.10.140","DNS","274","Standard query response 0xbf3c A mozilla.org A 63.245.208.195 NS ns4-64.akam.net NS ns7-66.akam.net NS ns5-65.akam.net NS ns1-240.akam.net A 84.53.139.64 A 184.85.248.65 A 96.7.49.66 A 193.108.91.240 AAAA 2600:1401:2::f0"
"76","3.852511297","10.10.10.1","10.10.10.140","DNS","274","Standard query response 0xa8c1 A mozilla.org A 63.245.208.195 NS ns7-66.akam.net NS ns1-240.akam.net NS ns4-64.akam.net NS ns5-65.akam.net A 84.53.139.64 A 184.85.248.65 A 96.7.49.66 A 193.108.91.240 AAAA 2600:1401:2::f0"
"77","3.853080560","10.10.10.140","10.10.10.1","DNS","86","Standard query 0xbd95 A detectportal.firefox.com"
"78","3.853113858","10.10.10.140","10.10.10.1","DNS","86","Standard query 0x2e69 AAAA detectportal.firefox.com"
"79","3.866924258","10.10.10.1","10.10.10.140","DNS","153","Standard query response 0x3cd6 AAAA mozilla.org SOA infoblox1.private.mdc2.mozilla.com"
"80","3.869308601","10.10.10.140","10.10.10.1","DNS","73","Standard query 0x05ff A mozilla.org"
"81","3.869341273","10.10.10.140","10.10.10.1","DNS","73","Standard query 0xb6c5 AAAA mozilla.org"
"82","3.899894903","fe80::8d7f:fb22:b645:cb76","ff02::16","ICMPv6","92","Multicast Listener Report Message v2"
"83","3.901222678","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"84","3.901550176","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","50280  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386367225 TSecr=0 WS=128"
"85","3.990094090","10.10.15.16","224.0.0.22","IGMPv3","56","Membership Report / Leave group 224.0.0.252"
"86","3.992095693","fe80::726d:ecff:fe02:13f","ff02::1:ff02:13f","ICMPv6","88","Multicast Listener Report"
"87","3.993251644","fe80::726d:ecff:fe02:70","ff02::1","ICMPv6","88","Multicast Listener Query"
"88","3.996439493","fe80::726d:ecff:fe02:70","ff02::1","ICMPv6","88","Multicast Listener Query"
"89","3.997539245","fe80::9168:7f61:21df:b294","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"90","4.000453416","10.10.14.124","10.10.15.255","UDP","88","57621  >  57621 Len=44"
"91","4.004677743","fe80::8d7f:fb22:b645:cb76","ff02::fb","MDNS","103","Standard query 0x0000 ANY ADMINRG-SL7NR70.local, ""QM"" question"
"92","4.006323811","fe80::8d7f:fb22:b645:cb76","ff02::fb","MDNS","141","Standard query response 0x0000 AAAA fe80::8d7f:fb22:b645:cb76 A 10.10.15.16"
"93","4.008589612","fe80::8d7f:fb22:b645:cb76","ff02::1:3","LLMNR","97","Standard query 0xf397 ANY ADMINRG-SL7NR70"
"94","4.009695378","fe80::726d:ecff:fe02:1d2","ff02::1:ff00:0","ICMPv6","88","Multicast Listener Report"
"95","4.010827379","fe80::ee08:6bff:fef2:dd92","ff02::1:fff2:dd92","ICMPv6","88","Multicast Listener Report"
"96","4.012749481","fe80::9c25:e050:14f:ff3","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"97","4.013928856","fe80::6a6d:bcff:fec7:41c4","ff02::1:ffc7:41c4","ICMPv6","88","Multicast Listener Report"
"98","4.015049366","fe80::5ac:9366:908b:13e0","ff02::1:ff8b:13e0","ICMPv6","88","Multicast Listener Report"
"99","4.016116371","fe80::5ac:9366:908b:13e0","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"100","4.017219155","192.168.0.149","224.0.0.251","MDNS","83","Standard query 0x0000 ANY LAPTOP-485R9V8E.local, ""QM"" question"
